Store,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,,,,
1,31-12-2010," ? 13,67,320.01 ",Yes,48.43,2.94,211.40,7.84,,,,
1,07-01-2011," ? 14,44,732.28 ",No,48.27,2.98,211.40,7.74,,,,
1,14-01-2011," ? 13,91,013.96 ",No,35.40,2.98,211.46,7.74,,,,
1,21-01-2011," ? 13,27,405.42 ",No,44.04,3.02,211.83,7.74,,,,
1,28-01-2011," ? 13,16,899.31 ",No,43.83,3.01,212.20,7.74,,,,
1,04-02-2011," ? 16,06,629.58 ",No,42.27,2.99,212.57,7.74,,,,
1,11-02-2011," ? 16,49,614.93 ",Yes,36.39,3.02,212.94,7.74,,,,
1,18-02-2011," ? 16,86,842.78 ",No,57.36,3.05,213.25,7.74,,,,
1,25-02-2011," ? 14,56,800.28 ",No,62.90,3.07,213.54,7.74,,,,
1,04-03-2011," ? 16,36,263.41 ",No,59.58,3.29,213.82,7.74,,,,
1,11-03-2011," ? 15,53,191.63 ",No,53.56,3.46,214.11,7.74,,,,
1,18-03-2011," ? 15,76,818.06 ",No,62.76,3.49,214.36,7.74,,,,
1,25-03-2011," ? 15,41,102.38 ",No,69.97,3.47,214.60,7.74,,,,
1,01-04-2011," ? 14,95,064.75 ",No,59.17,3.52,214.84,7.68,,,,
1,08-04-2011," ? 16,14,259.35 ",No,67.84,3.62,215.07,7.68,,,,
1,15-04-2011," ? 15,59,889.00 ",No,71.27,3.74,215.29,7.68,,,,
1,22-04-2011," ? 15,64,819.81 ",No,72.99,3.81,215.46,7.68,,,,
1,29-04-2011," ? 14,55,090.69 ",No,72.03,3.81,215.63,7.68,,,,
1,06-05-2011," ? 16,29,391.28 ",No,64.61,3.91,215.80,7.68,,,,
1,13-05-2011," ? 16,04,775.58 ",No,75.64,3.90,215.96,7.68,,,,
1,20-05-2011," ? 14,28,218.27 ",No,67.63,3.91,215.73,7.68,,,,
1,27-05-2011," ? 14,66,046.67 ",No,77.72,3.79,215.50,7.68,,,,
1,03-06-2011," ? 16,35,078.41 ",No,83.00,3.70,215.27,7.68,,,,
1,10-06-2011," ? 15,88,948.32 ",No,83.13,3.65,215.04,7.68,,,,
1,17-06-2011," ? 15,32,114.86 ",No,86.41,3.64,215.00,7.68,,,,
1,24-06-2011," ? 14,38,830.15 ",No,83.58,3.59,215.09,7.68,,,,
1,01-07-2011," ? 14,88,538.09 ",No,85.55,3.52,215.18,7.96,,,,
1,08-07-2011," ? 15,34,849.64 ",No,85.83,3.48,215.28,7.96,,,,
1,15-07-2011," ? 14,55,119.97 ",No,88.54,3.58,215.36,7.96,,,,
1,22-07-2011," ? 13,96,926.82 ",No,85.77,3.65,215.42,7.96,,,,
1,29-07-2011," ? 13,52,219.79 ",No,86.83,3.68,215.48,7.96,,,,
1,05-08-2011," ? 16,24,383.75 ",No,91.65,3.68,215.54,7.96,,,,
1,12-08-2011," ? 15,25,147.09 ",No,90.76,3.64,215.61,7.96,,,,
1,19-08-2011," ? 15,30,761.43 ",No,89.94,3.55,215.67,7.96,,,,
1,26-08-2011," ? 14,64,693.46 ",No,87.96,3.52,215.73,7.96,,,,
1,02-09-2011," ? 15,50,229.22 ",No,87.83,3.53,215.80,7.96,,,,
1,09-09-2011," ? 15,40,471.24 ",Yes,76.00,3.55,215.86,7.96,,,,
1,16-09-2011," ? 15,14,259.78 ",No,79.94,3.53,216.04,7.96,,,,
1,23-09-2011," ? 13,80,020.27 ",No,75.80,3.47,216.38,7.96,,,,
1,30-09-2011," ? 13,94,561.83 ",No,79.69,3.36,216.71,7.96,,,,
1,07-10-2011," ? 16,30,989.95 ",No,69.31,3.29,217.05,7.87,,,,
1,14-10-2011," ? 14,93,525.93 ",No,71.74,3.27,217.36,7.87,,,,
1,21-10-2011," ? 15,02,562.78 ",No,63.71,3.35,217.52,7.87,,,,
1,28-10-2011," ? 14,45,249.09 ",No,66.57,3.37,217.68,7.87,,,,
1,04-11-2011," ? 16,97,229.58 ",No,54.98,3.33,217.84,7.87,,,,
1,11-11-2011," ? 15,94,938.89 ",No,59.11,3.30,218.00,7.87,,,,
1,18-11-2011," ? 15,39,483.70 ",No,62.25,3.31,218.22,7.87,,,,
1,25-11-2011," ? 20,33,320.66 ",Yes,60.14,3.24,218.47,7.87,,,,
1,02-12-2011," ? 15,84,083.95 ",No,48.91,3.17,218.71,7.87,,,,
1,09-12-2011," ? 17,99,682.38 ",No,43.93,3.16,218.96,7.87,,,,
1,16-12-2011," ? 18,81,176.67 ",No,51.63,3.16,219.18,7.87,,,,
1,23-12-2011," ? 22,70,188.99 ",No,47.96,3.11,219.36,7.87,,,,
1,30-12-2011," ? 14,97,462.72 ",Yes,44.55,3.13,219.54,7.87,,,,
1,06-01-2012," ? 15,50,369.92 ",No,49.01,3.16,219.71,7.35,,,,
1,13-01-2012," ? 14,59,601.17 ",No,48.53,3.26,219.89,7.35,,,,
1,20-01-2012," ? 13,94,393.84 ",No,54.11,3.27,219.99,7.35,,,,
1,27-01-2012," ? 13,19,325.59 ",No,54.26,3.29,220.08,7.35,,,,
1,03-02-2012," ? 16,36,339.65 ",No,56.55,3.36,220.17,7.35,,,,
1,10-02-2012," ? 18,02,477.43 ",Yes,48.02,3.41,220.27,7.35,,,,
1,17-02-2012," ? 18,19,870.00 ",No,45.32,3.51,220.43,7.35,,,,
1,24-02-2012," ? 15,39,387.83 ",No,57.25,3.56,220.64,7.35,,,,
1,02-03-2012," ? 16,88,420.76 ",No,60.96,3.63,220.85,7.35,,,,
1,09-03-2012," ? 16,75,431.16 ",No,58.76,3.67,221.06,7.35,,,,
1,16-03-2012," ? 16,77,472.78 ",No,64.74,3.73,221.21,7.35,,,,
1,23-03-2012," ? 15,11,068.07 ",No,65.93,3.79,221.29,7.35,,,,
1,30-03-2012," ? 16,49,604.63 ",No,67.61,3.85,221.36,7.35,,,,
1,06-04-2012," ? 18,99,676.88 ",No,70.43,3.89,221.44,7.14,,,,
1,13-04-2012," ? 16,21,031.70 ",No,69.07,3.89,221.51,7.14,,,,
1,20-04-2012," ? 15,21,577.87 ",No,66.76,3.88,221.56,7.14,,,,
1,27-04-2012," ? 14,68,928.37 ",No,67.23,3.81,221.62,7.14,,,,
1,04-05-2012," ? 16,84,519.99 ",No,75.55,3.75,221.67,7.14,,,,
1,11-05-2012," ? 16,11,096.05 ",No,73.77,3.69,221.73,7.14,,,,
1,18-05-2012," ? 15,95,901.87 ",No,70.33,3.63,221.74,7.14,,,,
1,25-05-2012," ? 15,55,444.55 ",No,77.22,3.56,221.74,7.14,,,,
1,01-06-2012," ? 16,24,477.58 ",No,77.95,3.50,221.75,7.14,,,,
1,08-06-2012," ? 16,97,230.96 ",No,78.30,3.45,221.75,7.14,,,,
1,15-06-2012," ? 16,30,607.00 ",No,79.35,3.39,221.76,7.14,,,,
1,22-06-2012," ? 15,27,845.81 ",No,78.39,3.35,221.80,7.14,,,,
1,29-06-2012," ? 15,40,421.49 ",No,84.88,3.29,221.84,7.14,,,,
1,06-07-2012," ? 17,69,854.16 ",No,81.57,3.23,221.88,6.91,,,,
1,13-07-2012," ? 15,27,014.04 ",No,77.12,3.26,221.92,6.91,,,,
1,20-07-2012," ? 14,97,954.76 ",No,80.42,3.31,221.93,6.91,,,,
1,27-07-2012," ? 14,39,123.71 ",No,82.66,3.41,221.94,6.91,,,,
1,03-08-2012," ? 16,31,135.79 ",No,86.11,3.42,221.95,6.91,,,,
1,10-08-2012," ? 15,92,409.97 ",No,85.05,3.49,221.96,6.91,,,,
1,17-08-2012," ? 15,97,868.05 ",No,84.85,3.57,222.04,6.91,,,,
1,24-08-2012," ? 14,94,122.38 ",No,77.66,3.62,222.17,6.91,,,,
1,31-08-2012," ? 15,82,083.40 ",No,80.49,3.64,222.31,6.91,,,,
1,07-09-2012," ? 16,61,767.33 ",Yes,83.96,3.73,222.44,6.91,,,,
1,14-09-2012," ? 15,17,428.87 ",No,74.97,3.72,222.58,6.91,,,,
1,21-09-2012," ? 15,06,126.06 ",No,69.87,3.72,222.78,6.91,,,,
1,28-09-2012," ? 14,37,059.26 ",No,76.08,3.67,222.98,6.91,,,,
1,05-10-2012," ? 16,70,785.97 ",No,68.55,3.62,223.18,6.57,,,,
1,12-10-2012," ? 15,73,072.81 ",No,62.99,3.60,223.38,6.57,,,,
1,19-10-2012," ? 15,08,068.77 ",No,67.97,3.59,223.43,6.57,,,,
1,26-10-2012," ? 14,93,659.74 ",No,69.16,3.51,223.44,6.57,,,,
2,05-02-2010," ? 21,36,989.46 ",No,40.19,2.57,210.75,8.32,,,,
2,12-02-2010," ? 21,37,809.50 ",Yes,38.49,2.55,210.90,8.32,,,,
2,19-02-2010," ? 21,24,451.54 ",No,39.69,2.51,210.95,8.32,,,,
2,26-02-2010," ? 18,65,097.27 ",No,46.10,2.56,210.98,8.32,,,,
2,05-03-2010," ? 19,91,013.13 ",No,47.17,2.63,211.01,8.32,,,,
2,12-03-2010," ? 19,90,483.78 ",No,57.56,2.67,211.04,8.32,,,,
2,19-03-2010," ? 19,46,070.88 ",No,54.52,2.72,210.87,8.32,,,,
2,26-03-2010," ? 17,50,197.81 ",No,51.26,2.73,210.68,8.32,,,,
2,02-04-2010," ? 20,66,187.72 ",No,63.27,2.72,210.48,8.20,,,,
2,09-04-2010," ? 19,54,689.21 ",No,65.41,2.77,210.28,8.20,,,,
2,16-04-2010," ? 18,74,957.94 ",No,68.07,2.81,210.15,8.20,,,,
2,23-04-2010," ? 18,21,990.93 ",No,65.11,2.80,210.10,8.20,,,,
2,30-04-2010," ? 18,02,450.29 ",No,66.98,2.78,210.05,8.20,,,,
2,07-05-2010," ? 20,42,581.71 ",No,71.28,2.84,210.00,8.20,,,,
2,14-05-2010," ? 18,80,752.36 ",No,73.31,2.85,210.00,8.20,,,,
2,21-05-2010," ? 18,96,937.10 ",No,74.83,2.83,210.28,8.20,,,,
2,28-05-2010," ? 19,57,113.89 ",No,81.13,2.76,210.56,8.20,,,,
2,04-06-2010," ? 21,02,539.93 ",No,81.81,2.71,210.83,8.20,,,,
2,11-06-2010," ? 20,25,538.76 ",No,83.40,2.67,211.11,8.20,,,,
2,18-06-2010," ? 20,01,636.96 ",No,85.81,2.64,211.11,8.20,,,,
2,25-06-2010," ? 19,39,927.09 ",No,86.26,2.65,211.00,8.20,,,,
2,02-07-2010," ? 20,03,940.64 ",No,82.74,2.67,210.88,8.10,,,,
2,09-07-2010," ? 18,80,902.62 ",No,82.59,2.64,210.77,8.10,,,,hoihoa
2,16-07-2010," ? 18,45,879.79 ",No,85.32,2.62,210.76,8.10,,,,
2,23-07-2010," ? 17,81,717.71 ",No,87.66,2.61,210.89,8.10,,,,
2,30-07-2010," ? 18,04,246.16 ",No,83.49,2.64,211.03,8.10,,,,
2,06-08-2010," ? 19,91,909.98 ",No,89.53,2.63,211.16,8.10,,,,
2,13-08-2010," ? 18,95,601.05 ",No,89.05,2.69,211.30,8.10,,,,
2,20-08-2010," ? 19,64,335.23 ",No,88.70,2.66,211.26,8.10,,,,
2,27-08-2010," ? 18,63,840.49 ",No,87.12,2.62,211.22,8.10,,,,
2,03-09-2010," ? 19,04,608.09 ",No,81.83,2.58,211.19,8.10,,,,
2,10-09-2010," ? 18,39,128.83 ",Yes,79.09,2.57,211.15,8.10,,,,
2,17-09-2010," ? 17,93,903.60 ",No,82.05,2.58,211.18,8.10,,,,
2,24-09-2010," ? 17,24,557.22 ",No,81.79,2.62,211.26,8.10,,,,
2,01-10-2010," ? 18,27,440.43 ",No,69.24,2.60,211.33,8.16,,,,
2,08-10-2010," ? 18,49,921.44 ",No,63.19,2.63,211.40,8.16,,,,
2,15-10-2010," ? 17,94,355.49 ",No,65.80,2.72,211.47,8.16,,,,
2,22-10-2010," ? 17,37,947.64 ",No,68.50,2.73,211.52,8.16,,,,
2,29-10-2010," ? 18,02,755.11 ",No,66.24,2.72,211.57,8.16,,,,
2,05-11-2010," ? 19,39,061.41 ",No,57.85,2.69,211.61,8.16,,,,
2,12-11-2010," ? 19,16,812.74 ",No,59.69,2.73,211.66,8.16,,,,
2,19-11-2010," ? 19,56,739.17 ",No,50.81,2.77,211.55,8.16,,,,
2,26-11-2010," ? 26,58,725.29 ",Yes,62.98,2.74,211.41,8.16,,,,
2,03-12-2010," ? 20,15,781.27 ",No,49.33,2.71,211.27,8.16,,,,
2,10-12-2010," ? 23,78,726.55 ",No,45.50,2.84,211.12,8.16,,,,
2,," ? 26,09,166.75 ",No,47.55,2.87,211.06,8.16,,,,
2,24-12-2010," ? 34,36,007.68 ",No,49.97,2.89,211.06,8.16,,,,
2,31-12-2010," ? 17,50,434.55 ",Yes,47.30,2.94,211.06,8.16,,,,
2,07-01-2011," ? 17,58,050.79 ",No,44.69,2.98,211.06,8.03,,,,
2,14-01-2011," ? 17,44,193.58 ",No,33.02,2.98,211.12,8.03,,,,
2,21-01-2011," ? 17,51,384.90 ",No,41.40,3.02,211.49,8.03,,,,
2,28-01-2011," ? 16,95,371.68 ",No,42.83,3.01,211.86,8.03,,,,
2,04-02-2011," ? 19,29,346.23 ",No,38.25,2.99,212.22,8.03,,,,
2,11-02-2011," ? 21,68,041.61 ",Yes,33.19,3.02,212.59,8.03,,,,
2,18-02-2011," ? 20,80,884.82 ",No,57.83,3.05,212.90,8.03,,,,
2,25-02-2011," ? 18,33,511.08 ",No,60.80,3.07,213.19,8.03,,,,
2,04-03-2011," ? 19,81,607.78 ",No,57.77,3.29,213.48,8.03,,,,
2,11-03-2011," ? 18,79,107.31 ",No,52.70,3.46,213.76,8.03,,,,
2,18-03-2011," ? 19,02,557.66 ",No,62.32,3.49,214.02,8.03,,,,
2,25-03-2011," ? 17,66,162.05 ",No,69.42,3.47,214.25,8.03,,,,
2,01-04-2011," ? 18,00,171.36 ",No,55.43,3.52,214.49,7.93,,,,
2,08-04-2011," ? 18,47,552.61 ",No,67.00,3.62,214.73,7.93,,,,
2,15-04-2011," ? 18,56,467.84 ",No,69.48,3.74,214.94,7.93,,,,
2,22-04-2011," ? 18,86,339.60 ",No,69.39,3.81,215.11,7.93,,,,
2,29-04-2011," ? 17,45,545.28 ",No,69.21,3.81,215.28,7.93,,,,
2,06-05-2011," ? 18,37,743.60 ",No,61.48,3.91,215.44,7.93,,,,
2,13-05-2011," ? 18,38,513.07 ",No,74.61,3.90,215.61,7.93,,,,
2,20-05-2011," ? 16,88,281.86 ",No,67.14,3.91,215.38,7.93,,,,
2,27-05-2011," ? 17,97,732.56 ",No,76.42,3.79,215.15,7.93,,,,
2,03-06-2011," ? 19,33,756.21 ",No,83.07,3.70,214.93,7.93,,,,
2,10-06-2011," ? 19,29,153.16 ",No,83.40,3.65,214.70,7.93,,,,
2,17-06-2011," ? 19,53,771.99 ",No,86.53,3.64,214.65,7.93,,,,
2,24-06-2011," ? 17,90,925.80 ",No,85.17,3.59,214.74,7.93,,,,
2,01-07-2011," ? 18,66,243.00 ",No,85.69,3.52,214.84,7.85,,,,
2,08-07-2011," ? 18,53,161.99 ",No,87.70,3.48,214.93,7.85,,,,
2,15-07-2011," ? 17,85,187.29 ",No,89.83,3.58,215.01,7.85,,,,
2,22-07-2011," ? 17,43,816.41 ",No,89.34,3.65,215.07,7.85,,,,
2,29-07-2011," ? 16,80,693.06 ",No,90.07,3.68,215.14,7.85,,,,
2,05-08-2011," ? 18,76,704.26 ",No,93.34,3.68,215.20,7.85,,,,
2,12-08-2011," ? 18,12,768.26 ",No,91.58,3.64,215.26,7.85,,,,
2,19-08-2011," ? 18,44,094.59 ",No,89.86,3.55,215.32,7.85,,,,
2,26-08-2011," ? 18,21,139.91 ",No,90.45,3.52,215.39,7.85,,,,
2,02-09-2011," ? 18,09,119.70 ",No,89.64,3.53,215.45,7.85,,,,
2,09-09-2011," ? 17,48,000.65 ",Yes,77.97,3.55,215.51,7.85,,,,
2,16-09-2011," ? 16,91,439.52 ",No,78.85,3.53,215.69,7.85,,,,
2,23-09-2011," ? 16,69,299.78 ",No,75.58,3.47,216.03,7.85,,,,
2,30-09-2011," ? 16,50,394.44 ",No,78.14,3.36,216.36,7.85,,,,
2,07-10-2011," ? 18,37,553.43 ",No,69.92,3.29,216.70,7.44,,,,
2,14-10-2011," ? 17,43,882.19 ",No,71.67,3.27,217.00,7.44,,,,
2,21-10-2011," ? 18,34,680.25 ",No,64.53,3.35,217.17,7.44,,,,
2,28-10-2011," ? 17,69,296.25 ",No,65.87,3.37,217.33,7.44,,,,
2,04-11-2011," ? 19,59,707.90 ",No,55.53,3.33,217.49,7.44,,,,
2,11-11-2011," ? 19,20,725.15 ",No,59.33,3.30,217.65,7.44,,,,
2,18-11-2011," ? 19,02,762.50 ",No,62.01,3.31,217.87,7.44,,,,
2,25-11-2011," ? 26,14,202.30 ",Yes,56.36,3.24,218.11,7.44,,,,
2,02-12-2011," ? 19,54,952.00 ",No,48.74,3.17,218.36,7.44,,,,
2,09-12-2011," ? 22,90,549.32 ",No,41.76,3.16,218.61,7.44,,,,
2,16-12-2011," ? 24,32,736.52 ",No,50.13,3.16,218.82,7.44,,,,
2,23-12-2011," ? 32,24,369.80 ",No,46.66,3.11,219.00,7.44,,,,
2,30-12-2011," ? 18,74,226.52 ",Yes,44.57,3.13,219.18,7.44,,,,
2,06-01-2012," ? 17,99,520.14 ",No,46.75,3.16,219.36,7.06,,,,
2,13-01-2012," ? 17,44,725.48 ",No,45.99,3.26,219.53,7.06,,,,
2,20-01-2012," ? 17,11,769.11 ",No,51.70,3.27,219.63,7.06,,,,
2,27-01-2012," ? 16,60,906.14 ",No,50.50,3.29,219.72,7.06,,,,
2,03-02-2012," ? 19,35,299.94 ",No,55.21,3.36,219.81,7.06,,,,
2,10-02-2012," ? 21,03,322.68 ",Yes,46.98,3.41,219.90,7.06,,,,
2,17-02-2012," ? 21,96,688.46 ",No,43.82,3.51,220.07,7.06,,,,
2,24-02-2012," ? 18,61,802.70 ",No,54.63,3.56,220.28,7.06,,,,
2,02-03-2012," ? 19,52,555.66 ",No,58.79,3.63,220.49,7.06,,,,
2,09-03-2012," ? 19,37,628.26 ",No,57.11,3.67,220.70,7.06,,,,
2,16-03-2012," ? 19,76,082.13 ",No,63.68,3.73,220.85,7.06,,,,
2,23-03-2012," ? 17,90,439.16 ",No,64.01,3.79,220.92,7.06,,,,
2,30-03-2012," ? 18,57,480.84 ",No,66.83,3.85,221.00,7.06,,,,
2,06-04-2012," ? 21,29,035.91 ",No,68.43,3.89,221.07,6.89,,,,
2,13-04-2012," ? 19,35,869.10 ",No,68.08,3.89,221.15,6.89,,,,
2,20-04-2012," ? 18,47,344.45 ",No,65.69,3.88,221.20,6.89,,,,
2,27-04-2012," ? 17,64,133.09 ",No,67.20,3.81,221.26,6.89,,,,
2,04-05-2012," ? 19,23,957.09 ",No,76.73,3.75,221.31,6.89,,,,
2,11-05-2012," ? 19,17,520.99 ",No,73.87,3.69,221.36,6.89,,,,
2,18-05-2012," ? 20,00,940.67 ",No,71.27,3.63,221.38,6.89,,,,
2,25-05-2012," ? 19,12,791.09 ",No,78.19,3.56,221.38,6.89,,,,
2,01-06-2012," ? 19,10,092.37 ",No,78.38,3.50,221.39,6.89,,,,
2,08-06-2012," ? 20,10,216.49 ",No,78.69,3.45,221.39,6.89,,,,
2,15-06-2012," ? 19,62,924.30 ",No,80.56,3.39,221.40,6.89,,,,
2,22-06-2012," ? 18,87,733.21 ",No,81.04,3.35,221.44,6.89,,,,
2,29-06-2012," ? 18,81,046.12 ",No,86.32,3.29,221.48,6.89,,,,
2,06-07-2012," ? 20,41,507.40 ",No,84.20,3.23,221.52,6.57,,,,
2,13-07-2012," ? 18,30,075.13 ",No,80.17,3.26,221.56,6.57,,,,
2,20-07-2012," ? 18,19,666.46 ",No,83.23,3.31,221.57,6.57,,,,
2,27-07-2012," ? 17,57,923.88 ",No,86.37,3.41,221.58,6.57,,,,
2,03-08-2012," ? 19,46,104.64 ",No,90.22,3.42,221.59,6.57,,,,
2,10-08-2012," ? 18,66,719.96 ",No,88.55,3.49,221.60,6.57,,,,
2,17-08-2012," ? 19,28,016.01 ",No,84.79,3.57,221.68,6.57,,,,
2,24-08-2012," ? 18,76,788.15 ",No,76.91,3.62,221.81,6.57,,,,
2,31-08-2012," ? 19,47,083.30 ",No,82.64,3.64,221.94,6.57,,,,
2,07-09-2012," ? 18,98,777.07 ",Yes,87.65,3.73,222.07,6.57,,,,
2,14-09-2012," ? 18,14,806.63 ",No,75.88,3.72,222.22,6.57,,,,
2,21-09-2012," ? 18,29,415.67 ",No,71.09,3.72,222.42,6.57,,,,
2,28-09-2012," ? 17,46,470.56 ",No,79.45,3.67,222.62,6.57,,,,
2,05-10-2012," ? 19,98,321.04 ",No,70.27,3.62,222.82,6.17,,,,
2,12-10-2012," ? 19,00,745.13 ",No,60.97,3.60,223.02,6.17,,,,
2,19-10-2012," ? 18,47,990.41 ",No,68.08,3.59,223.06,6.17,,,,
2,26-10-2012," ? 18,34,458.35 ",No,69.79,3.51,223.08,6.17,,,,
3,05-02-2010," ? 4,61,622.22 ",No,45.71,2.57,214.42,7.37,,,,
3,12-02-2010," ? 4,20,728.96 ",Yes,47.93,2.55,214.57,7.37,,,,
3,19-02-2010," ? 4,21,642.19 ",No,47.07,2.51,214.62,7.37,,,,
3,26-02-2010," ? 4,07,204.86 ",No,52.05,2.56,214.65,7.37,,,,
3,05-03-2010," ? 4,15,202.04 ",No,53.04,2.63,214.68,7.37,,,,
3,12-03-2010," ? 3,84,200.69 ",No,63.08,2.67,214.70,7.37,,,,
3,19-03-2010," ? 3,75,328.59 ",No,60.42,2.72,214.53,7.37,,,,
3,26-03-2010," ? 3,59,949.27 ",No,57.06,2.73,214.32,7.37,,,,
3,02-04-2010," ? 4,23,294.40 ",No,65.56,2.72,214.12,7.34,,,,
3,09-04-2010," ? 4,15,870.28 ",No,68.00,2.77,213.91,7.34,,,,
3,16-04-2010," ? 3,54,993.26 ",No,66.98,2.81,213.77,7.34,,,,
3,23-04-2010," ? 3,39,976.65 ",No,67.87,2.80,213.72,7.34,,,,
3,30-04-2010," ? 3,61,248.39 ",No,70.24,2.78,213.67,7.34,,,,
3,07-05-2010," ? 3,99,323.86 ",No,73.47,2.84,213.62,7.34,,,,
3,14-05-2010," ? 3,84,357.94 ",No,77.18,2.85,213.62,7.34,,,,
3,21-05-2010," ? 3,43,763.17 ",No,75.81,2.83,213.91,7.34,,,,
3,28-05-2010," ? 3,50,089.23 ",No,78.60,2.76,214.20,7.34,,,,
3,04-06-2010," ? 3,96,968.80 ",No,78.53,2.71,214.50,7.34,,,,
3,11-06-2010," ? 3,55,017.09 ",No,82.10,2.67,214.79,7.34,,,,
3,18-06-2010," ? 3,64,076.85 ",No,83.52,2.64,214.79,7.34,,,,
3,25-06-2010," ? 3,57,346.48 ",No,83.79,2.65,214.67,7.34,,,,
3,02-07-2010," ? 3,81,151.72 ",No,82.20,2.67,214.55,7.35,,,,
3,09-07-2010," ? 3,49,214.18 ",No,81.75,2.64,214.43,7.35,,,,
3,16-07-2010," ? 3,52,728.78 ",No,84.32,2.62,214.42,7.35,,,,
3,23-07-2010," ? 3,52,864.49 ",No,83.32,2.61,214.56,7.35,,,,
3,30-07-2010," ? 3,47,955.05 ",No,82.04,2.64,214.70,7.35,,,,
3,06-08-2010," ? 4,02,635.76 ",No,85.13,2.63,214.83,7.35,,,,
3,13-08-2010," ? 3,39,597.38 ",No,86.74,2.69,214.97,7.35,,,,
